ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global"
20673,variation,STRIPESHORTS-M-1209372841,"Tossy Striped Knit 2 Piece-Set Shorts Women Fashion Zebra Printed - M, Stripe Shorts",1,0,visible,,,,,taxable,parent,1,892,,0,0,,,,,0,,,17.51,,,,https://shopflaire.pro/wp-content/uploads/2024/09/Sbf3cdb43592045ab95aadceef0e592a4b-2.webp,,,tossy-striped-knit-2-piece-set-shorts-women-fashion-zebra-printed-736017022,,,,,,0,Size,M,,0,Color,"Stripe Shorts",,0,,,,
20676,variation,STRIPESHORTS-S-1221114963,"Tossy Striped Knit 2 Piece-Set Shorts Women Fashion Zebra Printed - S, Stripe Shorts",1,0,visible,,,,,taxable,parent,1,962,,0,0,,,,,0,,,17.0,,,,https://shopflaire.pro/wp-content/uploads/2024/09/Sbf3cdb43592045ab95aadceef0e592a4b-3.webp,,,tossy-striped-knit-2-piece-set-shorts-women-fashion-zebra-printed-736017022,,,,,,0,Size,S,,0,Color,"Stripe Shorts",,0,,,,
20677,variation,STRIPETOP-XL-1104581958,"Tossy Striped Knit 2 Piece-Set Shorts Women Fashion Zebra Printed - XL, Stripe Top",1,0,visible,,,,,taxable,parent,1,888,,0,0,,,,,0,,,20.42,,,,https://shopflaire.pro/wp-content/uploads/2024/09/Sfcb4937fda55402e8c36bf1fc900d065F.webp,,,tossy-striped-knit-2-piece-set-shorts-women-fashion-zebra-printed-736017022,,,,,,0,Size,XL,,0,Color,"Stripe Top",,0,,,,
20678,variation,STRIPETOP-L-371981438,"Tossy Striped Knit 2 Piece-Set Shorts Women Fashion Zebra Printed - L, Stripe Top",1,0,visible,,,,,taxable,parent,1,928,,0,0,,,,,0,,,20.11,,,,https://shopflaire.pro/wp-content/uploads/2024/09/Sfcb4937fda55402e8c36bf1fc900d065F-2.webp,,,tossy-striped-knit-2-piece-set-shorts-women-fashion-zebra-printed-736017022,,,,,,0,Size,L,,0,Color,"Stripe Top",,0,,,,
20679,variation,STRIPETOP-M-1140574579,"Tossy Striped Knit 2 Piece-Set Shorts Women Fashion Zebra Printed - M, Stripe Top",1,0,visible,,,,,taxable,parent,1,889,,0,0,,,,,0,,,20.09,,,,https://shopflaire.pro/wp-content/uploads/2024/09/Sfcb4937fda55402e8c36bf1fc900d065F-1.webp,,,tossy-striped-knit-2-piece-set-shorts-women-fashion-zebra-printed-736017022,,,,,,0,Size,M,,0,Color,"Stripe Top",,0,,,,
20680,variation,STRIPETOP-S-1152213351,"Tossy Striped Knit 2 Piece-Set Shorts Women Fashion Zebra Printed - S, Stripe Top",1,0,visible,,,,,taxable,parent,1,960,,0,0,,,,,0,,,20.51,,,,https://shopflaire.pro/wp-content/uploads/2024/09/Sfcb4937fda55402e8c36bf1fc900d065F-3.webp,,,tossy-striped-knit-2-piece-set-shorts-women-fashion-zebra-printed-736017022,,,,,,0,Size,S,,0,Color,"Stripe Top",,0,,,,
20681,variation,STRIPESUIT-XL-113172594,"Tossy Striped Knit 2 Piece-Set Shorts Women Fashion Zebra Printed - XL, Stripe Suit",1,0,visible,,,,,taxable,parent,1,922,,0,0,,,,,0,,,33.97,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S20831c6e7f36496194aa876c4ca979fbe.webp,,,tossy-striped-knit-2-piece-set-shorts-women-fashion-zebra-printed-736017022,,,,,,0,Size,XL,,0,Color,"Stripe Suit",,0,,,,
20682,variation,STRIPESUIT-L-44230607,"Tossy Striped Knit 2 Piece-Set Shorts Women Fashion Zebra Printed - L, Stripe Suit",1,0,visible,,,,,taxable,parent,1,914,,0,0,,,,,0,,,32.75,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S20831c6e7f36496194aa876c4ca979fbe-1.webp,,,tossy-striped-knit-2-piece-set-shorts-women-fashion-zebra-printed-736017022,,,,,,0,Size,L,,0,Color,"Stripe Suit",,0,,,,
20683,variation,STRIPESUIT-M-1391040465,"Tossy Striped Knit 2 Piece-Set Shorts Women Fashion Zebra Printed - M, Stripe Suit",1,0,visible,,,,,taxable,parent,1,897,,0,0,,,,,0,,,35.86,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S20831c6e7f36496194aa876c4ca979fbe-2.webp,,,tossy-striped-knit-2-piece-set-shorts-women-fashion-zebra-printed-736017022,,,,,,0,Size,M,,0,Color,"Stripe Suit",,0,,,,
20684,variation,XXL-DARKGREEN-251713379,"ZANZEA Casual Solid Two Piece Sets Casual Solid Suit Sleeveless V-Neck - XXL, Dark Green",1,0,visible,,,,,taxable,parent,1,89,,0,0,,,,,0,,,19.44,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S3c81910bc37e42e59668bd4b291f3ebcu.webp,,,zanzea-casual-solid-two-piece-sets-casual-solid-suit-sleeveless-v-neck-325390499,,,,,,0,Size,XXL,,0,Color,"Dark Green",,0,,,,
20685,variation,STRIPESUIT-S-1593224810,"Tossy Striped Knit 2 Piece-Set Shorts Women Fashion Zebra Printed - S, Stripe Suit",1,0,visible,,,,,taxable,parent,1,886,,0,0,,,,,0,,,31.86,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S20831c6e7f36496194aa876c4ca979fbe-1.webp,,,tossy-striped-knit-2-piece-set-shorts-women-fashion-zebra-printed-736017022,,,,,,0,Size,S,,0,Color,"Stripe Suit",,0,,,,
20686,variation,5XL-DARKGREEN-487266593,"ZANZEA Casual Solid Two Piece Sets Casual Solid Suit Sleeveless V-Neck - 5XL, Dark Green",1,0,visible,,,,,taxable,parent,1,58,,0,0,,,,,0,,,19.44,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S3c81910bc37e42e59668bd4b291f3ebcu-1.webp,,,zanzea-casual-solid-two-piece-sets-casual-solid-suit-sleeveless-v-neck-325390499,,,,,,0,Size,5XL,,0,Color,"Dark Green",,0,,,,
